Area_Unit_Code,Area_Unit_Name,Region,Population,Households,Median_Age,Median_Income,Prop_European,Prop_Maori,Prop_Pacific,Prop_Asian,Prop_Other,Prop_Partnered,Prop_With_Degree,Prop_Unemployed,Prop_Public_Transport,Median_Rent_Weekly,Prop_Owner_Occupied,Dwellings
591900,Auckland Central West,Auckland,5274,2418,32.5,38400,0.52,0.08,0.05,0.32,0.03,0.45,0.42,0.05,0.28,450,0.25,2520
592000,Auckland Central East,Auckland,4821,2166,29.8,41200,0.48,0.06,0.04,0.39,0.03,0.41,0.48,0.04,0.32,475,0.22,2250
592100,Parnell,Auckland,6840,3150,36.2,58700,0.65,0.05,0.03,0.24,0.03,0.52,0.55,0.03,0.25,520,0.48,3300
592200,Newmarket,Auckland,3960,1890,31.4,45600,0.58,0.04,0.04,0.31,0.03,0.43,0.51,0.04,0.30,485,0.28,1950
592300,Mount Eden,Auckland,8220,3840,38.5,62400,0.68,0.05,0.02,0.22,0.03,0.58,0.58,0.02,0.22,495,0.62,3960
592400,Epsom,Auckland,7560,3420,42.1,71200,0.72,0.03,0.02,0.21,0.02,0.64,0.62,0.02,0.18,460,0.71,3540
593100,Mangere East,Auckland,9180,2640,28.4,32800,0.18,0.12,0.52,0.15,0.03,0.48,0.12,0.12,0.15,380,0.42,2760
593200,Otara,Auckland,11340,3120,26.8,28600,0.12,0.15,0.58,0.12,0.03,0.45,0.08,0.15,0.12,360,0.38,3240
593300,Papatoetoe Central,Auckland,8640,2880,32.2,36400,0.28,0.08,0.35,0.26,0.03,0.52,0.18,0.08,0.18,395,0.45,3000
594100,Henderson West,Auckland,7920,3180,35.6,48200,0.45,0.18,0.15,0.18,0.04,0.55,0.28,0.06,0.12,420,0.58,3300
594200,Te Atatu South,Auckland,6480,2640,38.8,54600,0.52,0.12,0.18,0.15,0.03,0.62,0.32,0.05,0.15,410,0.65,2730
595100,Albany,Auckland,9360,3600,34.2,56800,0.58,0.06,0.04,0.29,0.03,0.56,0.45,0.04,0.16,465,0.55,3720
595200,Browns Bay,Auckland,8100,3540,44.5,58400,0.72,0.04,0.02,0.19,0.03,0.62,0.42,0.03,0.08,440,0.68,3660
595300,Takapuna Central,Auckland,5580,2880,38.6,52200,0.68,0.05,0.03,0.21,0.03,0.48,0.52,0.04,0.18,480,0.42,3000
596100,Howick Central,Auckland,7200,2760,36.4,54800,0.42,0.03,0.04,0.48,0.03,0.58,0.48,0.04,0.12,445,0.58,2850
